"","locus_tag","gene"
"525","LFT_02418","nrdR"
"526","LFT_02431","frr"
"527","LFT_02432","pyrH"
"528","LFT_02433","tsf"
"529","LFT_02434","rpsB"
"530","LFT_02435","argJ"
"531","LFT_02436","argC"
"532","LFT_02437","rpsI"
"533","LFT_02438","rplM"
"534","LFT_02442","folB"
"535","LFT_02444","rng"
"536","LFT_02445","mrdB"
"537","LFT_02446","mrdA"
"538","LFT_02448","mreC"
"539","LFT_02449","mreB"
"540","LFT_02451","rpe"
"541","LFT_02452","htpX"
"542","LFT_02453","fmt"
"543","LFT_02460","trxB"
"544","LFT_02464","ygfZ"
"545","LFT_02469","galT"
"546","LFT_02473","glgC"
"547","LFT_02487","nadB"
"548","LFT_02489","gltX"
"549","LFT_02505","hemL"
"550","LFT_02506","gmhA"
"551","LFT_02508","mfd"
"552","LFT_02511","surA"
"553","LFT_02512","engB"
"554","LFT_02513","anmK"
"555","LFT_02520","ileS"
"556","LFT_02521","lspA"
"557","LFT_02523","rluD"
"558","LFT_02525","ispB"
"559","LFT_02528","suhB"
"560","LFT_02535","lpxC"
"561","LFT_02543","mnmA"
"562","LFT_02547","rsmG"
"563","LFT_02549","mnmE"
"564","LFT_02550","yidC"
"565","LFT_02551","rplI"
"566","LFT_02554","mscL"
"567","LFT_02556","cbiD"
"568","LFT_02559","cbiG"
"569","LFT_02561","cobO"
"570","LFT_02563","pyrF"
"571","LFT_02564","prmA"
"572","LFT_02581","nadA"
"573","LFT_02582","asd"
"574","LFT_02583","leuB"
"575","LFT_02586","psd"
"576","LFT_02587","ilvC"
"577","LFT_00020","leuA_1"
"578","LFT_00021","lrp"
"579","LFT_00045","fabH_1"
"580","LFT_00046","bamD_2"
"581","LFT_00051","pyrE_1"
"582","LFT_00060","oppC_1"
"583","LFT_00061","gph_1"
"584","LFT_00070","atpD1"
"585","LFT_00086","acsA"
"586","LFT_00092","thrZ"
"587","LFT_00118","ilvE_1"
"588","LFT_00127","pal_1"
"589","LFT_00128","pal_2"
"590","LFT_00139","lpd"
"591","LFT_00159","dnaX_1"
"592","LFT_00166","tusA_2"
"593","LFT_00193","gcvT_1"
"594","LFT_00194","gcvT_2"
"595","LFT_00225","flhB_1"
"596","LFT_00235","cheW"
"597","LFT_00242","flhB_2"
"598","LFT_00264","topA_1"
"599","LFT_00265","topA_2"
"600","LFT_00267","xerD_1"
"601","LFT_00315","oppC_2"
"602","LFT_00316","oppC_3"
"603","LFT_00323","glnB_1"
"604","LFT_00334","uvrB_1"
"605","LFT_00335","uvrB_2"
"606","LFT_00348","bcp_1"
"607","LFT_00349","arc_1"
"608","LFT_00350","arc_2"
"609","LFT_00351","dop_1"
"610","LFT_00353","prcB_1"
"611","LFT_00355","pafA_1"
"612","LFT_00356","pafA_2"
"613","LFT_00368","proP_1"
"614","LFT_00377","nrdZ_1"
"615","LFT_00435","fdx_1"
"616","LFT_00440","iscS_1"
"617","LFT_00471","yhdG_1"
"618","LFT_00486","bcp_2"
"619","LFT_00491","iscS_2"
"620","LFT_00510","leuD1"
"621","LFT_00523","treS_2"
"622","LFT_00529","glgE1"
"623","LFT_00541","rpfG_1"
"624","LFT_00556","glfT2"
"625","LFT_00581","sigE"
"626","LFT_00583","merA_1"
"627","LFT_00593","glmS_1"
"628","LFT_00610","sucC_2"
"629","LFT_00611","sucD_2"
"630","LFT_00644","ispH1"
"631","LFT_00651","hemN_1"
"632","LFT_00671","moeZ_2"
"633","LFT_00672","thrC_1"
"634","LFT_00675","moeZ_3"
"635","LFT_00678","phoR_1"
"636","LFT_00680","nfo_1"
"637","LFT_00681","nfo_2"
"638","LFT_00688","pdxA2"
"639","LFT_00693","rnj1"
"640","LFT_00724","nuoL_1"
"641","LFT_00727","lexA_1"
"642","LFT_00730","glnB_2"
"643","LFT_00765","bcsB"
"644","LFT_00766","bcsA_1"
"645","LFT_00772","lexA_2"
"646","LFT_00802","era_1"
"647","LFT_00803","era_2"
"648","LFT_00843","nnr"
"649","LFT_00868","sppA_1"
"650","LFT_00879","groS1"
"651","LFT_00881","trxA_2"
"652","LFT_00898","nadC_1"
"653","LFT_00899","nadC_2"
"654","LFT_00916","aroL"
"655","LFT_00917","aroB_1"
"656","LFT_00918","aroB_2"
"657","LFT_00929","tolB_1"
"658","LFT_00951","cusB_2"
"659","LFT_00959","tsaD_1"
"660","LFT_00960","tsaD_2"
"661","LFT_00974","emrB_1"
"662","LFT_00980","dnaK_2"
"663","LFT_00981","dnaJ_1"
"664","LFT_00985","cobP"
"665","LFT_00997","icd_1"
"666","LFT_01073","nrdZ_2"
"667","LFT_01083","ssb_1"
"668","LFT_01094","tmk_1"
"669","LFT_01137","traG_1"
